time	x	rho	rhou
1.17949	96	1	1.0328e-10
1.17949	97	1	4.20693e-11
1.17949	98	1	1.6747e-11
1.17949	99	1	6.42917e-12
1.17949	100	1	0
1.17949	101	1	-6.42917e-12
1.17949	102	1	-1.6747e-11
1.56848	-1	1	9.07619e-12
1.56848	0	1	0
1.56848	1	1	-9.07619e-12
1.56848	2	1	-2.38904e-11
1.56848	3	1	-5.9914e-11
1.56848	4	1	-1.46557e-10
1.56848	5	1	-3.51364e-10
1.56848	6	1	-8.25624e-10
1.56848	7	1	-1.90139e-09
1.56848	8	1	-4.29149e-09
1.56848	9	1	-9.49251e-09
1.56848	10	1	-2.05766e-08
1.56848	11	1	-4.37091e-08
1.56848	12	1	-9.0982e-08
1.56848	13	1	-1.8557e-07
1.56848	14	1	-3.70861e-07
1.56848	15	1	-7.26177e-07
1.56848	16	1	-1.3931e-06
1.56848	17	1.00001	-2.61821e-06
1.56848	18	1.00001	-4.82042e-06
1.56848	19	1.00002	-8.69353e-06
1.56848	20	1.00004	-1.53571e-05
1.56848	21	1.00008	-2.65698e-05
1.56848	22	1.00013	-4.50195e-05
1.56848	23	1.00023	-7.46976e-05
1.56848	24	1.00038	-0.000121357
1.56848	25	1.00063	-0.000193029
1.56848	26	1.00102	-0.000300559
1.56848	27	1.00162	-0.000458064
1.56848	28	1.00253	-0.000683197
1.56848	29	1.00386	-0.000997034
1.56848	30	1.00578	-0.00142341
1.56848	31	1.00849	-0.0019875
1.56848	32	1.01223	-0.00271342
1.56848	33	1.01726	-0.00362095
1.56848	34	1.02389	-0.00472121
1.56848	35	1.03243	-0.00601186
1.56848	36	1.04315	-0.00747218
1.56848	37	1.05631	-0.0090588
1.56848	38	1.07204	-0.0107032
1.56848	39	1.09037	-0.012312
1.56848	40	1.11115	-0.0137698
1.56848	41	1.13404	-0.0149476
1.56848	42	1.15849	-0.0157095
1.56848	43	1.18374	-0.0159355
1.56848	44	1.20886	-0.0155251
1.56848	45	1.23278	-0.0144161
1.56848	46	1.25438	-0.0126004
1.56848	47	1.27255	-0.0101241
1.56848	48	1.28632	-0.00708884
1.56848	49	1.29491	-0.0036499
1.56848	50	1.29783	0
1.56848	51	1.29491	0.0036499
1.56848	52	1.28632	0.00708884
1.56848	53	1.27255	0.0101241
1.56848	54	1.25438	0.0126004
1.56848	55	1.23278	0.0144161
1.56848	56	1.20886	0.0155251
1.56848	57	1.18374	0.0159355
1.56848	58	1.15849	0.0157095
1.56848	59	1.13404	0.0149476
1.56848	60	1.11115	0.0137698
1.56848	61	1.09037	0.012312
1.56848	62	1.07204	0.0107032
1.56848	63	1.05631	0.0090588
1.56848	64	1.04315	0.00747218
1.56848	65	1.03243	0.00601186
1.56848	66	1.02389	0.00472121
1.56848	67	1.01726	0.00362095
1.56848	68	1.01223	0.00271342
1.56848	69	1.00849	0.0019875
1.56848	70	1.00578	0.00142341
1.56848	71	1.00386	0.000997034
1.56848	72	1.00253	0.000683197
1.56848	73	1.00162	0.000458064
1.56848	74	1.00102	0.000300559
1.56848	75	1.00063	0.000193029
1.56848	76	1.00038	0.000121357
1.56848	77	1.00023	7.46976e-05
1.56848	78	1.00013	4.50195e-05
1.56848	79	1.00008	2.65698e-05
1.56848	80	1.00004	1.53571e-05
1.56848	81	1.00002	8.69353e-06
1.56848	82	1.00001	4.82042e-06
1.56848	83	1.00001	2.61821e-06
1.56848	84	1	1.3931e-06
1.56848	85	1	7.26177e-07
1.56848	86	1	3.70861e-07
1.56848	87	1	1.8557e-07
1.56848	88	1	9.0982e-08
1.56848	89	1	4.37091e-08
1.56848	90	1	2.05766e-08
1.56848	91	1	9.49251e-09
1.56848	92	1	4.29149e-09
1.56848	93	1	1.90139e-09
1.56848	94	1	8.25624e-10
1.56848	95	1	3.51364e-10
1.56848	96	1	1.46557e-10
1.56848	97	1	5.9914e-11
1.56848	98	1	2.38904e-11
1.56848	99	1	9.07619e-12
1.56848	100	1	0
1.56848	101	1	-9.07619e-12
1.56848	102	1	-2.38904e-11
1.95547	-1	1	1.2199e-11
1.95547	0	1	0
1.95547	1	1	-1.2199e-11
1.95547	2	1	-3.24762e-11
1.95547	3	1	-8.12699e-11
1.95547	4	1	-1.97943e-10
1.95547	5	1	-4.72563e-10
1.95547	6	1	-1.10588e-09
1.95547	7	1	-2.53676e-09
1.95547	8	1	-5.70372e-09
1.95547	9	1	-1.25698e-08
1.95547	10	1	-2.71504e-08
1.95547	11	1	-5.74754e-08
1.95547	12	1	-1.19242e-07
1.95547	13	1	-2.42435e-07
1.95547	14	1	-4.83019e-07
1.95547	15	1	-9.43001e-07
1.95547	16	1	-1.80392e-06
1.95547	17	1.00001	-3.38105e-06
1.95547	18	1.00001	-6.20859e-06
1.95547	19	1.00003	-1.11689e-05
1.95547	20	1.00005	-1.96823e-05
1.95547	21	1.00008	-3.39744e-05
1.95547	22	1.00014	-5.74387e-05
1.95547	23	1.00024	-9.51028e-05
1.95547	24	1.0004	-0.000154197
1.95547	25	1.00067	-0.000244795
1.95547	26	1.00107	-0.00038047
1.95547	27	1.0017	-0.000578855
1.95547	28	1.00263	-0.000861953
1.95547	29	1.00401	-0.00125599
1.95547	30	1.00598	-0.00179054
1.95547	31	1.00874	-0.00249678
1.95547	32	1.01254	-0.00340448
1.95547	33	1.01765	-0.00453788
1.95547	34	1.02435	-0.00591039
1.95547	35	1.03296	-0.00751855
1.95547	36	1.04374	-0.00933597
1.95547	37	1.05693	-0.011308
1.95547	38	1.07267	-0.0133489
1.95547	39	1.09096	-0.0153422
1.95547	40	1.11166	-0.0171445
1.95547	41	1.13442	-0.0185963
1.95547	42	1.15869	-0.0195275
1.95547	43	1.18371	-0.0197941
1.95547	44	1.20857	-0.0192711
1.95547	45	1.23222	-0.0178827
1.95547	46	1.25355	-0.0156218
1.95547	47	1.27148	-0.0125464
1.95547	48	1.28507	-0.00878164
1.95547	49	1.29354	-0.00452019
1.95547	50	1.29642	0
1.95547	51	1.29354	0.00452019
1.95547	52	1.28507	0.00878164
1.95547	53	1.27148	0.0125464
1.95547	54	1.25355	0.0156218
1.95547	55	1.23222	0.0178827
1.95547	56	1.20857	0.0192711
1.95547	57	1.18371	0.0197941
1.95547	58	1.15869	0.0195275
1.95547	59	1.13442	0.0185963
1.95547	60	1.11166	0.0171445
1.95547	61	1.09096	0.0153422
1.95547	62	1.07267	0.0133489
1.95547	63	1.05693	0.011308
1.95547	64	1.04374	0.00933597
1.95547	65	1.03296	0.00751855
1.95547	66	1.02435	0.00591039
1.95547	67	1.01765	0.00453788
1.95547	68	1.01254	0.00340448
1.95547	69	1.00874	0.00249678
1.95547	70	1.00598	0.00179054
1.95547	71	1.00401	0.00125599
1.95547	72	1.00263	0.000861953
1.95547	73	1.0017	0.000578855
1.95547	74	1.00107	0.00038047
1.95547	75	1.00067	0.000244795
1.95547	76	1.0004	0.000154197
1.95547	77	1.00024	9.51028e-05
1.95547	78	1.00014	5.74387e-05
1.95547	79	1.00008	3.39744e-05
1.95547	80	1.00005	1.96823e-05
1.95547	81	1.00003	1.11689e-05
1.95547	82	1.00001	6.20859e-06
1.95547	83	1.00001	3.38105e-06
1.95547	84	1	1.80392e-06
1.95547	85	1	9.43001e-07
1.95547	86	1	4.83019e-07
1.95547	87	1	2.42435e-07
1.95547	88	1	1.19242e-07
1.95547	89	1	5.74754e-08
1.95547	90	1	2.71504e-08
1.95547	91	1	1.25698e-08
1.95547	92	1	5.70372e-09
1.95547	93	1	2.53676e-09
1.95547	94	1	1.10588e-09
1.95547	95	1	4.72563e-10
1.95547	96	1	1.97943e-10
1.95547	97	1	8.12699e-11
1.95547	98	1	3.24762e-11
1.95547	99	1	1.2199e-11
1.95547	100	1	0
1.95547	101	1	-1.2199e-11
1.95547	102	1	-3.24762e-11
2.3405	-1	1	1.59683e-11
2.3405	0	1	0
2.3405	1	1	-1.59683e-11
2.3405	2	1	-4.29899e-11
2.3405	3	1	-1.07294e-10
2.3405	4	1	-2.60076e-10
2.3405	5	1	-6.17947e-10
2.3405	6	1	-1.43942e-09
2.3405	7	1	-3.28705e-09
2.3405	8	1	-7.35857e-09
2.3405	9	1	-1.61485e-08
2.3405	10	1	-3.47382e-08
2.3405	11	1	-7.32482e-08
2.3405	12	1	-1.51386e-07
2.3405	13	1	-3.06656e-07
2.3405	14	1	-6.08797e-07
2.3405	15	1	-1.18448e-06
2.3405	16	1	-2.25837e-06
2.3405	17	1.00001	-4.21934e-06
2.3405	18	1.00002	-7.72417e-06
2.3405	19	1.00003	-1.38544e-05
2.3405	20	1.00005	-2.43456e-05
2.3405	21	1.00009	-4.19096e-05
2.3405	22	1.00015	-7.06698e-05
2.3405	23	1.00026	-0.000116718
2.3405	24	1.00043	-0.000188793
2.3405	25	1.00071	-0.000299038
2.3405	26	1.00114	-0.000463774
2.3405	27	1.00179	-0.000704152
2.3405	28	1.00276	-0.0010465
2.3405	29	1.00418	-0.00152213
2.3405	30	1.00621	-0.00216625
2.3405	31	1.00905	-0.00301586
2.3405	32	1.01294	-0.00410616
2.3405	33	1.01813	-0.00546558
2.3405	34	1.02493	-0.00710948
2.3405	35	1.03362	-0.00903295
2.3405	36	1.04447	-0.0112036
2.3405	37	1.0577	-0.0135553
2.3405	38	1.07344	-0.0159846
2.3405	39	1.09169	-0.0183525
2.3405	40	1.11229	-0.0204874
2.3405	41	1.13488	-0.022201
2.3405	42	1.15892	-0.0232884
2.3405	43	1.18366	-0.0235855
2.3405	44	1.2082	-0.0229432
2.3405	45	1.23152	-0.021273
2.3405	46	1.25252	-0.018571
2.3405	47	1.27017	-0.0149072
2.3405	48	1.28353	-0.0104293
2.3405	49	1.29184	-0.00536646
2.3405	50	1.29467	0
2.3405	51	1.29184	0.00536646
2.3405	52	1.28353	0.0104293
2.3405	53	1.27017	0.0149072
2.3405	54	1.25252	0.018571
2.3405	55	1.23152	0.021273
2.3405	56	1.2082	0.0229432
2.3405	57	1.18366	0.0235855
2.3405	58	1.15892	0.0232884
2.3405	59	1.13488	0.022201
2.3405	60	1.11229	0.0204874
2.3405	61	1.09169	0.0183525
2.3405	62	1.07344	0.0159846
2.3405	63	1.0577	0.0135553
2.3405	64	1.04447	0.0112036
2.3405	65	1.03362	0.00903295
2.3405	66	1.02493	0.00710948
2.3405	67	1.01813	0.00546558
2.3405	68	1.01294	0.00410616
2.3405	69	1.00905	0.00301586
2.3405	70	1.00621	0.00216625
2.3405	71	1.00418	0.00152213
2.3405	72	1.00276	0.0010465
2.3405	73	1.00179	0.000704152
2.3405	74	1.00114	0.000463774
2.3405	75	1.00071	0.000299038
2.3405	76	1.00043	0.000188793
2.3405	77	1.00026	0.000116718
2.3405	78	1.00015	7.06698e-05
2.3405	79	1.00009	4.19096e-05
2.3405	80	1.00005	2.43456e-05
2.3405	81	1.00003	1.38544e-05
2.3405	82	1.00002	7.72417e-06
2.3405	83	1.00001	4.21934e-06
2.3405	84	1	2.25837e-06
2.3405	85	1	1.18448e-06
2.3405	86	1	6.08797e-07
2.3405	87	1	3.06656e-07
2.3405	88	1	1.51386e-07
2.3405	89	1	7.32482e-08
2.3405	90	1	3.47382e-08
2.3405	91	1	1.61485e-08
2.3405	92	1	7.35857e-09
2.3405	93	1	3.28705e-09
2.3405	94	1	1.43942e-09
2.3405	95	1	6.17947e-10
2.3405	96	1	2.60076e-10
2.3405	97	1	1.07294e-10
2.3405	98	1	4.29899e-11
2.3405	99	1	1.59683e-11
2.3405	100	1	0
2.3405	101	1	-1.59683e-11
2.3405	102	1	-4.29899e-11
2.72361	-1	1	2.05905e-11
2.72361	0	1	0
2.72361	1	1	-2.05905e-11
2.72361	2	1	-5.60067e-11
2.72361	3	1	-1.39344e-10
2.72361	4	1	-3.36023e-10
2.72361	5	1	-7.9429e-10
